58 87 -1
-62 23 -1
20 -80 1
-35 44 -1
-60 -62 1
68 -27 1
-37 90 -1
-55 -65 1
34 -87 1
-97 13 1
-58 64 -1
30 -17 1
64 -81 1
-21 -33 -1
-8 98 -1
90 -91 1
-2 59 -1
-19 13 -1
-12 -61 1
-45 -94 1
82 -64 1
-68 -20 -1
56 -3 1
-73 88 -1
48 59 1
47 -3 1
-2 -43 1
-79 -9 -1
-87 -58 1
95 87 -1
-5 -74 1
-43 -42 -1
98 10 -1
59 21 1
68 -44 1
-52 -55 -1
-58 -61 1
21 74 -1
-39 5 -1
-23 30 -1
-91 74 -1
42 89 -1
69 8 1
24 -68 1
-64 86 -1
16 -12 1
13 -82 1
-11 30 -1
-33 -12 -1
-70 81 -1
47 -11 1
-14 62 -1
71 55 -1
-34 -71 1
16 -45 1
3 -11 1
-38 -22 -1
-24 -50 1
82 -98 1
-21 35 -1
-42 -93 1
-61 83 -1
-82 63 -1
84 33 -1
-97 39 -1
-4 -92 1
-14 35 -1
70 -51 1
-17 -69 1
-14 -16 -1
71 -35 1
-99 96 -1
1 55 -1
84 71 -1
-76 10 -1
22 29 1
-23 -12 -1
35 -61 1
-57 12 -1
-6 48 -1
-60 -79 1
-71 53 -1
-89 21 -1
-28 -75 1
76 21 1
8 14 1
46 36 1
-41 59 -1
43 -18 1
-27 -74 1
17 96 -1
-7 22 -1
-61 20 -1
-99 -82 1
74 63 -1
80 3 1
-99 21 -1
4 65 -1
63 50 -1
-88 31 -1
