97 6 16 1
41 84 14 -1
56 61 27 -1
56 93 95 1
83 81 72 1
0 82 57 -1
54 6 1 -1
92 48 9 1
15 46 25 -1
78 31 25 1
86 41 19 1
35 85 76 1
25 40 93 -1
77 45 47 1
98 71 6 1
59 98 2 1
70 20 19 -1
26 67 52 -1
87 35 0 1
4 0 36 -1
36 23 52 -1
14 59 34 -1
95 67 57 1
89 43 58 1
53 42 45 -1
66 51 56 1
8 72 93 1
53 46 51 -1
50 68 94 1
64 18 6 -1
90 18 20 1
84 33 9 1
4 89 56 -1
17 13 69 -1
88 83 51 1
84 43 56 1
17 96 70 1
49 4 14 -1
7 84 68 -1
10 64 81 -1
90 54 89 1
73 44 35 1
72 1 32 -1
45 82 12 -1
49 33 13 -1
25 93 56 -1
74 57 41 1
75 43 64 1
36 89 9 -1
60 19 65 -1
15 27 89 -1
82 88 15 1
16 78 16 -1
22 51 83 -1
76 18 71 1
67 30 94 1
77 98 68 1
79 89 44 1
5 45 99 1
11 30 55 -1
33 13 98 1
95 47 73 1
10 51 51 -1
17 97 91 1
1 80 57 -1
36 5 18 -1
98 0 62 1
17 41 38 -1
70 75 54 1
87 9 67 1
33 65 15 -1
74 34 31 -1
21 38 89 -1
95 20 80 1
40 39 39 -1
67 43 32 -1
36 21 76 -1
99 28 27 1
52 61 67 -1
94 17 98 1
90 23 33 1
62 29 35 -1
70 91 68 1
61 52 2 -1
14 5 97 -1
42 73 1 -1
88 94 13 1
7 72 55 -1
8 33 8 -1
64 62 16 -1
82 50 2 1
75 71 68 1
27 68 48 -1
37 75 3 -1
10 19 65 -1
62 78 45 1
80 35 78 1
65 11 55 -1
32 64 11 -1
53 12 88 1
